years_of_experience,aerodynamics_score,technological_score,Leader
4,45,10,1
6,29,7,0
8,34,9,0
5,50,9,1
4,19,8,0
7,12,10,0
20,29,2,0
5,9,8,0
16,10,5,0
11,23,8,0
11,7,10,0
2,45,4,1
14,25,4,0
1,38,3,0
5,17,5,0
8,23,10,0
12,11,7,0
7,6,7,0
17,41,9,1
9,33,2,0
6,49,5,1
0,6,5,0
18,20,6,0
20,34,7,1
12,26,4,0
10,32,5,0
14,28,1,0
13,45,4,1
12,9,10,0
18,35,7,1
2,23,6,0
14,30,7,0
19,35,1,1
9,48,9,1
17,7,4,0
12,6,1,0
17,31,2,0
4,37,1,0
16,25,10,0
0,42,2,0
9,25,9,0
3,42,8,1
16,12,3,0
20,24,2,0
9,22,1,0
5,13,3,0
15,32,7,0
6,28,7,0
5,45,7,1
4,6,1,0
13,25,7,0
12,34,5,0
18,39,8,1
5,15,5,0
2,17,1,0
12,26,10,0
10,13,1,0
11,11,6,0
14,17,1,0
14,19,3,0
5,23,2,0
14,21,5,0
10,35,8,1
15,48,8,1
2,45,9,1
13,32,2,0
10,33,5,0
12,50,2,1
2,9,7,0
13,6,3,0
14,34,2,0
12,12,8,0
14,38,9,1
18,49,8,1
3,46,9,1
1,29,9,0
8,26,6,0
1,43,6,1
10,10,3,0
9,29,6,0
3,40,5,0
3,18,1,0
9,6,8,0
10,34,9,1
3,14,10,0
19,21,8,0
17,21,7,0
1,34,10,0
11,36,1,0
8,45,10,1
14,41,4,1
13,11,5,0
1,36,2,0
20,12,3,0
18,24,8,0
11,50,8,1
9,18,3,0
16,16,2,0
20,12,3,0
3,26,10,0
12,43,7,1
17,12,6,0
8,45,5,1
3,28,5,0
4,35,5,0
20,49,6,1
12,7,9,0
14,22,10,0
18,31,2,0
6,16,3,0
15,38,6,1
18,46,8,1
12,23,3,0
11,39,3,1
0,44,9,1
17,13,1,0
2,15,9,0
2,45,8,1
3,5,2,0
13,44,9,1
20,29,10,1
3,12,7,0
19,20,7,0
11,10,2,0
5,30,9,0
20,38,7,1
6,10,7,0
7,5,9,0
15,6,1,0
2,21,5,0
1,32,6,0
12,34,2,0
17,41,6,1
0,42,2,0
8,11,2,0
4,33,5,0
9,23,10,0
16,16,1,0
1,15,5,0
20,25,1,0
18,32,7,1
13,42,8,1
16,43,9,1
12,19,3,0
1,8,4,0
13,34,8,1
10,26,2,0
19,35,9,1
2,10,2,0
8,34,5,0
13,8,10,0
20,33,5,1
13,9,2,0
17,8,10,0
11,16,4,0
11,25,6,0
0,9,2,0
6,42,4,1
19,43,8,1
10,14,3,0
1,44,5,1
5,38,8,1
20,30,10,1
4,7,5,0
14,15,8,0
13,36,3,0
6,19,7,0
20,48,9,1
12,37,2,0
15,26,6,0
13,36,10,1
10,18,9,0
1,47,1,1
9,22,8,0
17,10,4,0
9,42,9,1
0,14,1,0
1,31,2,0
0,14,4,0
3,28,9,0
6,38,8,1
15,34,3,0
1,19,8,0
19,15,7,0
9,25,3,0
15,31,3,0
6,38,9,1
12,32,10,0
4,39,8,1
6,34,9,0
15,11,9,0
19,48,2,1
15,45,2,1
19,9,5,0
10,17,7,0
15,34,6,1
20,19,2,0
3,18,6,0
12,14,1,0
12,46,10,1
19,37,1,1
18,44,1,1
6,23,8,0
10,10,7,0
12,13,9,0
