years_of_experience,aerodynamics_score,technological_score,Leadership Score ,Leader,,,W1,W2,W3
4,45,10,540,1,,,5,10,7
6,29,7,369,0,,,,,
8,34,9,443,0,,,,,
5,50,9,588,1,,,,,
4,19,8,266,0,,,,,
7,12,10,225,0,,,,,
20,29,2,404,0,,,,,
5,9,8,171,0,,,,,
16,10,5,215,0,,,,,
11,23,8,341,0,,,,,
11,7,10,195,0,,,,,
2,45,4,488,1,,,,,
14,25,4,348,0,,,,,
1,38,3,406,0,,,,,
5,17,5,230,0,,,,,
8,23,10,340,0,,,,,
12,11,7,219,0,,,,,
7,6,7,144,0,,,,,
17,41,9,558,1,,,,,
9,33,2,389,0,,,,,
6,49,5,555,1,,,,,
0,6,5,95,0,,,,,
18,20,6,332,0,,,,,
20,34,7,489,1,,,,,
12,26,4,348,0,,,,,
10,32,5,405,0,,,,,
14,28,1,357,0,,,,,
13,45,4,543,1,,,,,
12,9,10,220,0,,,,,
18,35,7,489,1,,,,,
2,23,6,282,0,,,,,
14,30,7,419,0,,,,,
19,35,1,452,1,,,,,
9,48,9,588,1,,,,,
17,7,4,183,0,,,,,
12,6,1,127,0,,,,,
17,31,2,409,0,,,,,
4,37,1,397,0,,,,,
16,25,10,400,0,,,,,
0,42,2,434,0,,,,,
9,25,9,358,0,,,,,
3,42,8,491,1,,,,,
16,12,3,221,0,,,,,
20,24,2,354,0,,,,,
9,22,1,272,0,,,,,
5,13,3,176,0,,,,,
15,32,7,444,0,,,,,
6,28,7,359,0,,,,,
5,45,7,524,1,,,,,
4,6,1,87,0,,,,,
13,25,7,364,0,,,,,
12,34,5,435,0,,,,,
18,39,8,536,1,,,,,
5,15,5,210,0,,,,,
2,17,1,187,0,,,,,
12,26,10,390,0,,,,,
10,13,1,187,0,,,,,
11,11,6,207,0,,,,,
14,17,1,247,0,,,,,
14,19,3,281,0,,,,,
5,23,2,269,0,,,,,
14,21,5,315,0,,,,,
10,35,8,456,1,,,,,
15,48,8,611,1,,,,,
2,45,9,523,1,,,,,
13,32,2,399,0,,,,,
10,33,5,415,0,,,,,
12,50,2,574,1,,,,,
2,9,7,149,0,,,,,
13,6,3,146,0,,,,,
14,34,2,424,0,,,,,
12,12,8,236,0,,,,,
14,38,9,513,1,,,,,
18,49,8,636,1,,,,,
3,46,9,538,1,,,,,
1,29,9,358,0,,,,,
8,26,6,342,0,,,,,
1,43,6,477,1,,,,,
10,10,3,171,0,,,,,
9,29,6,377,0,,,,,
3,40,5,450,0,,,,,
3,18,1,202,0,,,,,
9,6,8,161,0,,,,,
10,34,9,453,1,,,,,
3,14,10,225,0,,,,,
19,21,8,361,0,,,,,
17,21,7,344,0,,,,,
1,34,10,415,0,,,,,
11,36,1,422,0,,,,,
8,45,10,560,1,,,,,
14,41,4,508,1,,,,,
13,11,5,210,0,,,,,
1,36,2,379,0,,,,,
20,12,3,241,0,,,,,
18,24,8,386,0,,,,,
11,50,8,611,1,,,,,
9,18,3,246,0,,,,,
16,16,2,254,0,,,,,
20,12,3,241,0,,,,,
3,26,10,345,0,,,,,
12,43,7,539,1,,,,,
17,12,6,247,0,,,,,
8,45,5,525,1,,,,,
3,28,5,330,0,,,,,
4,35,5,405,0,,,,,
20,49,6,632,1,,,,,
12,7,9,193,0,,,,,
14,22,10,360,0,,,,,
18,31,2,414,0,,,,,
6,16,3,211,0,,,,,
15,38,6,497,1,,,,,
18,46,8,606,1,,,,,
12,23,3,311,0,,,,,
11,39,3,466,1,,,,,
0,44,9,503,1,,,,,
17,13,1,222,0,,,,,
2,15,9,223,0,,,,,
2,45,8,516,1,,,,,
3,5,2,79,0,,,,,
13,44,9,568,1,,,,,
20,29,10,460,1,,,,,
3,12,7,184,0,,,,,
19,20,7,344,0,,,,,
11,10,2,169,0,,,,,
5,30,9,388,0,,,,,
20,38,7,529,1,,,,,
6,10,7,179,0,,,,,
7,5,9,148,0,,,,,
15,6,1,142,0,,,,,
2,21,5,255,0,,,,,
1,32,6,367,0,,,,,
12,34,2,414,0,,,,,
17,41,6,537,1,,,,,
0,42,2,434,0,,,,,
8,11,2,164,0,,,,,
4,33,5,385,0,,,,,
9,23,10,345,0,,,,,
16,16,1,247,0,,,,,
1,15,5,190,0,,,,,
20,25,1,357,0,,,,,
18,32,7,459,1,,,,,
13,42,8,541,1,,,,,
16,43,9,573,1,,,,,
12,19,3,271,0,,,,,
1,8,4,113,0,,,,,
13,34,8,461,1,,,,,
10,26,2,324,0,,,,,
19,35,9,508,1,,,,,
2,10,2,124,0,,,,,
8,34,5,415,0,,,,,
13,8,10,215,0,,,,,
20,33,5,465,1,,,,,
13,9,2,169,0,,,,,
17,8,10,235,0,,,,,
11,16,4,243,0,,,,,
11,25,6,347,0,,,,,
0,9,2,104,0,,,,,
6,42,4,478,1,,,,,
19,43,8,581,1,,,,,
10,14,3,211,0,,,,,
1,44,5,480,1,,,,,
5,38,8,461,1,,,,,
20,30,10,470,1,,,,,
4,7,5,125,0,,,,,
14,15,8,276,0,,,,,
13,36,3,446,0,,,,,
6,19,7,269,0,,,,,
20,48,9,643,1,,,,,
12,37,2,444,0,,,,,
15,26,6,377,0,,,,,
13,36,10,495,1,,,,,
10,18,9,293,0,,,,,
1,47,1,482,1,,,,,
9,22,8,321,0,,,,,
17,10,4,213,0,,,,,
9,42,9,528,1,,,,,
0,14,1,147,0,,,,,
1,31,2,329,0,,,,,
0,14,4,168,0,,,,,
3,28,9,358,0,,,,,
6,38,8,466,1,,,,,
15,34,3,436,0,,,,,
1,19,8,251,0,,,,,
19,15,7,294,0,,,,,
9,25,3,316,0,,,,,
15,31,3,406,0,,,,,
6,38,9,473,1,,,,,
12,32,10,450,0,,,,,
4,39,8,466,1,,,,,
6,34,9,433,0,,,,,
15,11,9,248,0,,,,,
19,48,2,589,1,,,,,
15,45,2,539,1,,,,,
19,9,5,220,0,,,,,
10,17,7,269,0,,,,,
15,34,6,457,1,,,,,
20,19,2,304,0,,,,,
3,18,6,237,0,,,,,
12,14,1,207,0,,,,,
12,46,10,590,1,,,,,
19,37,1,472,1,,,,,
18,44,1,537,1,,,,,
6,23,8,316,0,,,,,
10,10,7,199,0,,,,,
12,13,9,253,0,,,,,
6,9,4,148,0,,,,,
11,20,7,304,0,,,,,
16,32,4,428,0,,,,,
20,39,8,546,1,,,,,
5,36,5,420,0,,,,,
7,26,2,309,0,,,,,
2,44,4,478,1,,,,,
15,25,8,381,0,,,,,
4,42,1,447,0,,,,,
5,37,9,458,1,,,,,
14,41,4,508,1,,,,,
16,14,10,290,0,,,,,
5,16,3,206,0,,,,,
16,7,5,185,0,,,,,
12,45,7,559,1,,,,,
10,5,10,170,0,,,,,
0,6,10,130,0,,,,,
7,43,8,521,1,,,,,
16,34,9,483,1,,,,,
14,35,6,462,1,,,,,
8,7,8,166,0,,,,,
13,41,10,545,1,,,,,
15,15,6,267,0,,,,,
0,8,4,108,0,,,,,
